"","SURVEY","SUBREGION","HAULJOIN","YEAR","STRATUM","AREA","DEPTH","LON","LAT","TEMP"
"65","GOA","WGOA",-12576,2005,"10",8332.718,78,193.38319,53.53648,5
"66","GOA","WGOA",-13218,2005,"10",8332.718,82,194.8597,54.20574,4.7
"67","GOA","WGOA",-5429,2009,"10",8332.718,94,194.1586,53.84075,4.2
"68","GOA","WGOA",-4701,2009,"10",8332.718,90,194.72791,54.21062,4
"69","GOA","WGOA",-2683,2007,"10",8332.718,60,191.47031,52.99327,4
"70","GOA","WGOA",-14004,2015,"10",8332.718,91,194.92383,54.19694,5.3
"71","GOA","WGOA",1180651,2003,"10",8332.718,99,191.7977,53.09645,5.5
"72","GOA","WGOA",1180652,2003,"10",8332.718,95,191.87959,53.12599,5.3
"73","GOA","WGOA",1180653,2003,"10",8332.718,72,192.21111,53.23294,5.7
"74","GOA","WGOA",-4693,2009,"10",8332.718,86,194.4597,53.78538,3.8
"75","GOA","WGOA",-4758,2009,"10",8332.718,77,193.67081,53.64254,3.9
"76","GOA","WGOA",-4759,2009,"10",8332.718,41,193.9001,53.81196,4.1
"77","GOA","WGOA",1077939,2001,"10",8332.718,88,194.0367,53.92701,4.7
"78","GOA","WGOA",1077940,2001,"10",8332.718,85,194.5029,53.94117,4.6
"79","GOA","WGOA",1077659,2001,"10",8332.718,64,191.40981,52.98353,5
"80","GOA","WGOA",-9947,2013,"10",8332.718,85,194.01463,53.66002,4.5
"81","GOA","WGOA",1180664,2003,"10",8332.718,83,194.38721,53.8338,6.1
"82","GOA","WGOA",1077934,2001,"10",8332.718,97,194.0271,53.78412,4.6
"83","GOA","WGOA",1173504,2003,"10",8332.718,80,192.64371,53.25732,5.4
"84","GOA","WGOA",-2704,2007,"10",8332.718,93,194.9841,54.31633,3.6
"85","GOA","WGOA",991281,1999,"10",8332.718,89,193.9909,53.83958,3.8
"86","GOA","WGOA",-5424,2009,"10",8332.718,94,193.47279,53.50495,3.5
"87","GOA","WGOA",1077938,2001,"10",8332.718,60,193.80231,53.89497,4.6
"88","GOA","WGOA",-13200,2005,"10",8332.718,87,191.57829,52.95674,5.1
"89","GOA","WGOA",1077658,2001,"10",8332.718,50,191.0193,52.8142,5.1
"90","GOA","WGOA",-7435,2011,"10",8332.718,95,194.34268,53.94512,4.2
"91","GOA","WGOA",-5430,2009,"10",8332.718,95,194.3401,53.94476,4.2
"92","GOA","WGOA",1078174,2001,"10",8332.718,83,194.0607,53.66331,4.5
"93","GOA","WGOA",-13206,2005,"10",8332.718,83,192.985,53.3686,4.8
"94","GOA","WGOA",979006,1999,"10",8332.718,70,192.229,53.22672,4.1
"95","GOA","WGOA",-7431,2011,"10",8332.718,99,193.28782,53.35687,4
"96","GOA","WGOA",979008,1999,"10",8332.718,86,192.8266,53.29407,3.8
"97","GOA","WGOA",1077889,2001,"10",8332.718,87,194.9135,53.97451,4.8
"98","GOA","WGOA",-9759,2013,"10",8332.718,52,194.51705,54.02952,4.3
"99","GOA","WGOA",-2939,2007,"10",8332.718,79,194.435,53.7858,3.3
"100","GOA","WGOA",-7345,2011,"10",8332.718,96,191.74412,53.06885,4.4
"101","GOA","WGOA",-7346,2011,"10",8332.718,86,192.2028,53.16122,4.3
"102","GOA","WGOA",1077676,2001,"10",8332.718,91,194.9967,54.31866,4.8
"103","GOA","WGOA",-2695,2007,"10",8332.718,74,193.97681,53.77055,3.8
"104","GOA","WGOA",881593,1996,"10",8332.718,77,193.3841,53.53773,4.5
"105","GOA","WGOA",-5431,2009,"10",8332.718,98,194.58369,53.84562,3.7
"106","GOA","WGOA",-2933,2007,"10",8332.718,68,192.4678,53.23623,4
"107","GOA","WGOA",-4690,2009,"10",8332.718,93,193.9953,53.83923,4.1
"108","GOA","WGOA",-4691,2009,"10",8332.718,81,194.1115,53.99675,4.1
"109","GOA","WGOA",-4692,2009,"10",8332.718,86,194.3374,53.66039,3.6
"110","GOA","WGOA",-2688,2007,"10",8332.718,94,193.1671,53.35341,3.7
"111","GOA","WGOA",985864,1999,"10",8332.718,82,193.0624,53.39636,3.9
"112","GOA","WGOA",-9761,2013,"10",8332.718,81,194.03226,53.68745,4.4
"113","GOA","WGOA",-2941,2007,"10",8332.718,91,194.38699,53.98058,3.6
"114","GOA","WGOA",1077926,2001,"10",8332.718,85,190.99899,52.76179,4.9
"115","GOA","WGOA",1077670,2001,"10",8332.718,57,194.7393,54.03855,4.8
"116","GOA","WGOA",-13201,2005,"10",8332.718,95,191.32269,52.87344,5.1
"117","GOA","WGOA",991282,1999,"10",8332.718,85,194.0391,53.9339,3.8
"118","GOA","WGOA",991283,1999,"10",8332.718,75,194.2708,53.89594,3.7
"119","GOA","WGOA",-14424,2015,"10",8332.718,88,194.59501,53.94671,6.7
"120","GOA","WGOA",1173515,2003,"10",8332.718,80,194.19859,53.87455,6
"121","GOA","WGOA",-4766,2009,"10",8332.718,88,194.9444,53.90923,3.7
"122","GOA","WGOA",-14086,2015,"10",8332.718,94,194.04961,53.73835,5.6
"123","GOA","WGOA",-2703,2007,"10",8332.718,87,194.8541,54.21148,3.7
"124","GOA","WGOA",-13214,2005,"10",8332.718,91,194.2804,53.91953,5
"125","GOA","WGOA",-13215,2005,"10",8332.718,44,194.5831,54.05798,5.2
"126","GOA","WGOA",-7423,2011,"10",8332.718,79,191.39295,52.94923,4.6
"127","GOA","WGOA",881678,1996,"10",8332.718,78,194.949,53.99532,4.9
"128","GOA","WGOA",1180665,2003,"10",8332.718,86,194.58411,53.93218,6.2
"129","GOA","WGOA",985872,1999,"10",8332.718,60,194.8604,54.16531,3.7
"130","GOA","WGOA",-9738,2013,"10",8332.718,78,192.6453,53.25883,4.6
"131","GOA","WGOA",985874,1999,"10",8332.718,91,194.8589,53.91514,3.5
"132","GOA","WGOA",991285,1999,"10",8332.718,86,194.596,53.9759,3.5
"133","GOA","WGOA",1077665,2001,"10",8332.718,78,192.65221,53.26377,4.8
"134","GOA","WGOA",991286,1999,"10",8332.718,74,194.9116,54.18062,3.7
"135","GOA","WGOA",-12585,2005,"10",8332.718,64,194.5295,54.22606,5.1
"136","GOA","WGOA",-4755,2009,"10",8332.718,99,191.68111,52.93765,3.5
"137","GOA","WGOA",-14418,2015,"10",8332.718,80,191.22998,52.84584,6.9
"138","GOA","WGOA",-13217,2005,"10",8332.718,65,194.6786,54.1532,5.1
"139","GOA","WGOA",-7434,2011,"10",8332.718,71,193.86538,53.73342,4.5
"140","GOA","WGOA",1077925,2001,"10",8332.718,79,191.6187,53.03627,4.8
"141","GOA","WGOA",991276,1999,"10",8332.718,78,193.3874,53.53255,3.7
"142","GOA","WGOA",-7424,2011,"10",8332.718,67,191.81047,53.16872,4.4
"143","GOA","WGOA",-2687,2007,"10",8332.718,99,192.91679,53.29753,3.4
"144","GOA","WGOA",-7354,2011,"10",8332.718,78,193.66902,53.64098,4.5
"145","GOA","WGOA",-13212,2005,"10",8332.718,94,194.63811,53.87528,5
"146","GOA","WGOA",881337,1996,"10",8332.718,95,191.3634,52.85855,4.5
"147","GOA","WGOA",-4685,2009,"10",8332.718,36,193.2166,53.44241,3.9
"148","GOA","WGOA",881659,1996,"10",8332.718,71,191.7993,53.14544,5.2
"149","GOA","WGOA",991270,1999,"10",8332.718,74,191.7403,53.11097,4.2
"150","GOA","WGOA",1077669,2001,"10",8332.718,87,194.50999,53.91537,4.7
"151","GOA","WGOA",-7444,2011,"10",8332.718,85,194.97243,53.9433,4.5
"152","GOA","WGOA",881577,1996,"10",8332.718,62,194.8596,54.17081,4.8
"153","GOA","WGOA",1180663,2003,"10",8332.718,82,193.9567,53.83124,5.8
"154","GOA","WGOA",-4764,2009,"10",8332.718,87,194.92889,54.19268,3.9
"155","GOA","WGOA",-4754,2009,"10",8332.718,74,191.1783,52.87662,3.9
"156","GOA","WGOA",881587,1996,"10",8332.718,93,192.4532,53.16125,4.8
"157","GOA","WGOA",881578,1996,"10",8332.718,97,194.4352,53.87939,4.8
"158","GOA","WGOA",-7445,2011,"10",8332.718,50,194.4545,54.01607,4.4
"159","GOA","WGOA",881345,1996,"10",8332.718,83,193.7031,53.64043,4.4
"160","GOA","WGOA",-9760,2013,"10",8332.718,79,194.09825,53.90025,4.6
"161","GOA","WGOA",-7446,2011,"10",8332.718,90,194.6425,54.27962,4.3
"162","GOA","WGOA",881576,1996,"10",8332.718,67,194.7893,54.20966,4.7
"163","GOA","WGOA",881671,1996,"10",8332.718,75,194.2068,54.03067,4.9
"164","GOA","WGOA",1077666,2001,"10",8332.718,73,192.6866,53.29303,4.8
"165","GOA","WGOA",881575,1996,"10",8332.718,63,194.5539,54.22485,4.5
"166","GOA","WGOA",-14071,2015,"10",8332.718,96,192.33856,53.13243,5.4
"167","GOA","WGOA",-14423,2015,"10",8332.718,81,193.87812,53.73404,6.9
"168","GOA","WGOA",-9739,2013,"10",8332.718,72,192.69361,53.29209,4.5
"169","GOA","WGOA",-4686,2009,"10",8332.718,69,193.4754,53.55773,3.5
"170","GOA","WGOA",-14070,2015,"10",8332.718,86,191.00607,52.7678,5.7
"171","GOA","WGOA",-2930,2007,"10",8332.718,93,191.32561,52.86982,3.5
"172","GOA","WGOA",881672,1996,"10",8332.718,89,194.439,53.72334,4.5
"173","GOA","WGOA",-2931,2007,"10",8332.718,96,191.4933,52.89833,3.4
"174","GOA","WGOA",-2932,2007,"10",8332.718,95,192.17641,53.13494,3.2
"175","GOA","WGOA",1180694,2003,"11",13681.241,85,197.2887,54.47942,6.5
